iter	AUC
0	0.8029511072
1	0.8163563314
2	0.8304290198
3	0.8382811244
4	0.8462336886
5	0.8514833629
6	0.8546205459
7	0.8594201056
8	0.8635836369
9	0.8663623289
10	0.8693658895
11	0.8721608521
12	0.8739233132
13	0.8766632389
14	0.8783378362
15	0.8795296869
16	0.8807598
17	0.8828410145
18	0.8854103761
19	0.8877499151
20	0.8896305807
21	0.8912071511
22	0.8926991259
23	0.8938364446
24	0.8946101971
25	0.8956539301
26	0.8969201379
27	0.8982595899
28	0.899883405
29	0.9008033134
30	0.901347753
31	0.9034043605
32	0.9045052656
33	0.9060781789
34	0.9067155828
35	0.9075412072
36	0.9084064407
37	0.9093446909
38	0.9101322511
39	0.9109429439
40	0.9117430005
41	0.9126283359
42	0.9136567368
43	0.9141310946
44	0.9145172878
45	0.9148236514
46	0.9154757205
47	0.9161641716
48	0.9166745568
49	0.917644815
50	0.918533584
51	0.9191419762
52	0.9195316388
53	0.9203716707
54	0.9210783042
55	0.9219632366
56	0.9230555324
57	0.9235800978
58	0.9241333111
59	0.9245154817
60	0.9249850407
61	0.9254719937
62	0.9258641703
63	0.9262834778
64	0.9266959969
65	0.9273768452
66	0.9277879324
67	0.9282627233
68	0.9288380163
69	0.9293596452
70	0.9297951664
71	0.9302869318
72	0.9308099542
73	0.9311596947
74	0.9314602934
75	0.9319277755
76	0.9323518591
77	0.9331529965
78	0.933910639
79	0.9341534683
80	0.9344708098
81	0.9350357853
82	0.9354895213
83	0.9359281316
84	0.9361653423
85	0.936568015
86	0.9368481952
87	0.9372399084
88	0.9375189092
89	0.9383095803
90	0.9388816659
91	0.9393661741
92	0.9396435828
93	0.9398202301
94	0.9401347363
95	0.9405737971
96	0.9408617444
97	0.9412075614
98	0.9416515844
99	0.9421301251
100	0.9423631651
101	0.9428482526
102	0.9433113065
103	0.9437345896
104	0.9439690128
105	0.9445046154
106	0.944709362
107	0.9449519806
108	0.9454484422
109	0.9459431388
110	0.9464336401
111	0.9465455798
112	0.9467995124
113	0.9468745664
114	0.9471756529
115	0.9474794414
116	0.9477883136
117	0.9478892558
118	0.9481688535
119	0.9483264801
120	0.948650103
121	0.9489822744
122	0.9492909899
123	0.9495598377
124	0.9497046428
125	0.9498519325
126	0.9500115013
127	0.9502190836
128	0.9505189574
129	0.9507734037
130	0.9509953122
131	0.9510478529
132	0.9512625325
133	0.9514552903
134	0.9515885769
135	0.9518087561
136	0.9520364424
137	0.9523551544
138	0.9526124536
139	0.9527065553
140	0.952946278
141	0.9532015048
142	0.9533760288
143	0.9535020719
144	0.953825008
145	0.9539480177
146	0.9541828923
147	0.9545083384
148	0.9546486649
149	0.9547803034
150	0.954931773
151	0.955080821
152	0.9553447656
153	0.9554541869
154	0.9556445318
155	0.9559074124
156	0.9560129339
157	0.9562306016
158	0.9563341684
159	0.9564887564
160	0.956623506
161	0.9568759773
162	0.9570382084
163	0.9572645375
164	0.9574798106
165	0.9576811523
166	0.95786362
167	0.9579426172
168	0.9581440748
169	0.9582877547
