0	164157	411
1	164549	826
2	162704	1229
3	163705	1653
4	165705	2097
5	167283	2547
6	168741	3005
7	168185	3432
8	167532	3856
9	167116	4285
10	166814	4717
11	166441	5147
12	165853	5571
13	165522	6003
14	165212	6436
15	164835	6868
16	164389	7296
17	163916	7723
18	164170	8186
19	163873	8624
20	163517	9060
21	163825	9534
22	163900	9999
23	164036	10470
24	163456	10897
25	163161	11342
26	163248	11816
27	163387	12298
28	162887	12732
29	162376	13165
30	162840	13680
31	162725	14150
32	162855	14643
33	162620	15106
34	162255	15558
35	161755	15997
36	161211	16431
37	161074	16908
38	160924	17385
39	160314	17812
40	159767	18246
41	159529	18715
42	159003	19151
43	158504	19590
44	157935	20019
45	157419	20455
46	157100	20917
47	156661	21362
48	156628	21865
49	156140	22305
50	155605	22738
51	155082	23173
52	154540	23604
53	154257	24074
54	153908	24536
55	153411	24973
56	152898	25408
57	152453	25854
58	152107	26317
59	151618	26756
60	151159	27199
61	150845	27669
62	150332	28103
63	149865	28545
64	149420	28992
65	148983	29439
66	148472	29872
67	147967	30306
68	147468	30741
69	147079	31198
70	146610	31639
71	146273	32108
72	145831	32555
73	145324	32987
74	145101	33484
75	145006	34013
76	144569	34463
77	144148	34917
78	143809	35392
79	143697	35924
80	143151	36348
81	142560	36760
82	141996	37178
83	141458	37602
84	140935	38030
85	140390	38450
86	139865	38876
87	139344	39302
88	138862	39738
89	138387	40177
90	137912	40614
91	137737	41142
92	137264	41581
93	136838	42035
94	136482	42511
95	136040	42960
96	135600	43410
97	135095	43838
98	134635	44282
99	134185	44728
100	133723	45170
101	133200	45592
102	132697	46019
103	132302	46484
104	131936	46960
105	131418	47382
106	130933	47815
107	130491	48263
108	130014	48699
109	129630	49170
110	129131	49597
111	128777	50080
112	128346	50533
113	127898	50980
114	127439	51422
115	126969	51860
116	126546	52317
117	126112	52770
118	125632	53203
119	125193	53654
120	124870	54155
121	124628	54693
122	124268	55180
123	123825	55631
124	123373	56078
125	122891	56512
126	122409	56944
127	121904	57366
128	121534	57852
129	121164	58338
130	120755	58806
131	120287	59246
132	119853	59702
133	119420	60159
134	118979	60612
135	118501	61046
136	118104	61521
137	117644	61965
138	117211	62423
139	116854	62921
140	116400	63368
141	115955	63820
142	115497	64264
143	115017	64697
144	114563	65143
145	114077	65572
146	113598	66003
147	113159	66458
148	112700	66901
149	112222	67333
150	111749	67767
151	111325	68232
152	110863	68672
153	110396	69110
154	109953	69562
155	109513	70017
156	109045	70453
157	108614	70913
158	108293	71446
159	107927	71951
160	107578	72469
161	107146	72931
162	106726	73402
163	106277	73853
164	105786	74275
165	105296	74697
166	104847	75147
167	104374	75581
168	103898	76012
169	103418	76439
170	102925	76857
171	102437	77277
172	102020	77751
173	101547	78182
174	101074	78613
175	100666	79095
176	100213	79541
177	99794	80015
178	99349	80468
179	98891	80910
180	98450	81368
181	97991	81809
182	97572	82284
183	97135	82744
184	96714	83219
185	96241	83649
186	95762	84073
187	95326	84535
188	94860	84969
189	94379	85390
190	93930	85841
191	93475	86284
192	93005	86714
193	92534	87143
194	92060	87569
195	91591	87999
196	91144	88450
197	90690	88894
198	90305	89407
199	89922	89922
200	89566	90466
201	89129	90930
202	88661	91361
203	88219	91820
204	87764	92265
205	87296	92696
206	86819	93117
207	86353	93549
208	85922	94020
209	85472	94469
210	85006	94901
211	84550	95343
212	84101	95794
213	83631	96221
214	83178	96667
215	82711	97096
216	82258	97541
